"week_date","ageGroup6","counts","year","month","yearMonth","vacc","ageGroup3"
2017-07-03,"45-64",1,2017,7,2017-07-01,"PCV13","2-64"
2017-07-03,"65+",2,2017,7,2017-07-01,"PCV13","65+"
2017-07-10,"15-44",1,2017,7,2017-07-01,"PCV13","2-64"
2017-07-10,"45-64",1,2017,7,2017-07-01,"PCV13","2-64"
2017-07-17,"45-64",1,2017,7,2017-07-01,"PCV13","2-64"
2017-07-31,"15-44",1,2017,7,2017-07-01,"PCV13","2-64"
2017-08-07,"15-44",1,2017,8,2017-08-01,"PCV13","2-64"
2017-08-07,"45-64",1,2017,8,2017-08-01,"PCV13","2-64"
2017-08-07,"65+",2,2017,8,2017-08-01,"PCV13","65+"
2017-08-14,"15-44",1,2017,8,2017-08-01,"PCV13","2-64"
2017-08-14,"65+",2,2017,8,2017-08-01,"PCV13","65+"
2017-08-21,"65+",1,2017,8,2017-08-01,"PCV13","65+"
2017-08-21,"<2",1,2017,8,2017-08-01,"PCV13","<2"
2017-08-28,"15-44",1,2017,8,2017-08-01,"PCV13","2-64"
2017-08-28,"45-64",1,2017,8,2017-08-01,"PCV13","2-64"
2017-08-28,"65+",5,2017,8,2017-08-01,"PCV13","65+"
2017-09-11,"15-44",2,2017,9,2017-09-01,"PCV13","2-64"
2017-09-11,"45-64",1,2017,9,2017-09-01,"PCV13","2-64"
2017-09-11,"65+",2,2017,9,2017-09-01,"PCV13","65+"
2017-09-18,"45-64",1,2017,9,2017-09-01,"PCV13","2-64"
2017-09-18,"65+",1,2017,9,2017-09-01,"PCV13","65+"
2017-09-25,"15-44",1,2017,9,2017-09-01,"PCV13","2-64"
2017-09-25,"45-64",2,2017,9,2017-09-01,"PCV13","2-64"
2017-09-25,"65+",4,2017,9,2017-09-01,"PCV13","65+"
2017-09-25,"<2",2,2017,9,2017-09-01,"PCV13","<2"
2017-10-02,"15-44",2,2017,10,2017-10-01,"PCV13","2-64"
2017-10-02,"65+",5,2017,10,2017-10-01,"PCV13","65+"
2017-10-02,"<2",1,2017,10,2017-10-01,"PCV13","<2"
2017-10-09,"15-44",5,2017,10,2017-10-01,"PCV13","2-64"
2017-10-09,"2-4",2,2017,10,2017-10-01,"PCV13","2-64"
2017-10-09,"45-64",2,2017,10,2017-10-01,"PCV13","2-64"
2017-10-09,"5-14",1,2017,10,2017-10-01,"PCV13","2-64"
2017-10-09,"65+",2,2017,10,2017-10-01,"PCV13","65+"
2017-10-09,"<2",1,2017,10,2017-10-01,"PCV13","<2"
2017-10-16,"15-44",1,2017,10,2017-10-01,"PCV13","2-64"
2017-10-16,"45-64",5,2017,10,2017-10-01,"PCV13","2-64"
2017-10-16,"65+",2,2017,10,2017-10-01,"PCV13","65+"
2017-10-23,"15-44",2,2017,10,2017-10-01,"PCV13","2-64"
2017-10-23,"45-64",3,2017,10,2017-10-01,"PCV13","2-64"
2017-10-23,"65+",4,2017,10,2017-10-01,"PCV13","65+"
2017-10-30,"15-44",3,2017,10,2017-10-01,"PCV13","2-64"
2017-10-30,"45-64",5,2017,10,2017-10-01,"PCV13","2-64"
2017-10-30,"65+",1,2017,10,2017-10-01,"PCV13","65+"
2017-11-06,"15-44",5,2017,11,2017-11-01,"PCV13","2-64"
2017-11-06,"45-64",1,2017,11,2017-11-01,"PCV13","2-64"
2017-11-06,"65+",4,2017,11,2017-11-01,"PCV13","65+"
2017-11-06,"<2",1,2017,11,2017-11-01,"PCV13","<2"
2017-11-13,"15-44",3,2017,11,2017-11-01,"PCV13","2-64"
2017-11-13,"2-4",1,2017,11,2017-11-01,"PCV13","2-64"
2017-11-13,"45-64",6,2017,11,2017-11-01,"PCV13","2-64"
2017-11-13,"65+",6,2017,11,2017-11-01,"PCV13","65+"
2017-11-20,"45-64",6,2017,11,2017-11-01,"PCV13","2-64"
2017-11-20,"65+",9,2017,11,2017-11-01,"PCV13","65+"
2017-11-27,"15-44",5,2017,11,2017-11-01,"PCV13","2-64"
2017-11-27,"45-64",4,2017,11,2017-11-01,"PCV13","2-64"
2017-11-27,"65+",5,2017,11,2017-11-01,"PCV13","65+"
2017-11-27,"<2",1,2017,11,2017-11-01,"PCV13","<2"
2017-12-04,"15-44",8,2017,12,2017-12-01,"PCV13","2-64"
2017-12-04,"45-64",2,2017,12,2017-12-01,"PCV13","2-64"
2017-12-04,"65+",5,2017,12,2017-12-01,"PCV13","65+"
2017-12-11,"15-44",3,2017,12,2017-12-01,"PCV13","2-64"
2017-12-11,"45-64",2,2017,12,2017-12-01,"PCV13","2-64"
2017-12-11,"65+",10,2017,12,2017-12-01,"PCV13","65+"
2017-12-18,"15-44",3,2017,12,2017-12-01,"PCV13","2-64"
2017-12-18,"45-64",3,2017,12,2017-12-01,"PCV13","2-64"
