"Region","Age","year","PopSize","ageGroup2","ageGroup3","ageGroup5","ageGroup6","ageGroup7"
"East of England",0,2001,61068,"children","<2","<5","<2","<2"
"East of England",0,2002,60303,"children","<2","<5","<2","<2"
"East of England",0,2003,61898,"children","<2","<5","<2","<2"
"East of England",0,2004,64344,"children","<2","<5","<2","<2"
"East of England",0,2005,64775,"children","<2","<5","<2","<2"
"East of England",0,2006,66081,"children","<2","<5","<2","<2"
"East of England",0,2007,68261,"children","<2","<5","<2","<2"
"East of England",0,2008,71656,"children","<2","<5","<2","<2"
"East of England",0,2009,71228,"children","<2","<5","<2","<2"
"East of England",0,2010,72057,"children","<2","<5","<2","<2"
"East of England",0,2011,73033,"children","<2","<5","<2","<2"
"East of England",0,2012,74083,"children","<2","<5","<2","<2"
"East of England",0,2013,72470,"children","<2","<5","<2","<2"
"East of England",0,2014,71695,"children","<2","<5","<2","<2"
"East of England",0,2015,71736,"children","<2","<5","<2","<2"
"East of England",0,2016,73036,"children","<2","<5","<2","<2"
"East of England",0,2017,70723,"children","<2","<5","<2","<2"
"East of England",0,2018,69740,"children","<2","<5","<2","<2"
"East of England",0,2019,67772,"children","<2","<5","<2","<2"
"East of England",0,2020,66792,"children","<2","<5","<2","<2"
"East of England",0,2021,64755,"children","<2","<5","<2","<2"
"East of England",0,2022,67001,"children","<2","<5","<2","<2"
"East of England",0,2023,64042,"children","<2","<5","<2","<2"
"East of England",0,2024,64042,"children","<2","<5","<2","<2"
"East of England",1,2001,62264,"children","<2","<5","<2","<2"
"East of England",1,2002,61860,"children","<2","<5","<2","<2"
"East of England",1,2003,60967,"children","<2","<5","<2","<2"
"East of England",1,2004,62324,"children","<2","<5","<2","<2"
"East of England",1,2005,64842,"children","<2","<5","<2","<2"
"East of England",1,2006,65153,"children","<2","<5","<2","<2"
"East of England",1,2007,66985,"children","<2","<5","<2","<2"
"East of England",1,2008,68989,"children","<2","<5","<2","<2"
"East of England",1,2009,72106,"children","<2","<5","<2","<2"
"East of England",1,2010,71749,"children","<2","<5","<2","<2"
"East of England",1,2011,72836,"children","<2","<5","<2","<2"
"East of England",1,2012,74203,"children","<2","<5","<2","<2"
"East of England",1,2013,74961,"children","<2","<5","<2","<2"
"East of England",1,2014,73888,"children","<2","<5","<2","<2"
"East of England",1,2015,73091,"children","<2","<5","<2","<2"
"East of England",1,2016,72731,"children","<2","<5","<2","<2"
"East of England",1,2017,73913,"children","<2","<5","<2","<2"
"East of England",1,2018,71512,"children","<2","<5","<2","<2"
"East of England",1,2019,70632,"children","<2","<5","<2","<2"
"East of England",1,2020,68720,"children","<2","<5","<2","<2"
"East of England",1,2021,68440,"children","<2","<5","<2","<2"
"East of England",1,2022,66974,"children","<2","<5","<2","<2"
"East of England",1,2023,69819,"children","<2","<5","<2","<2"
"East of England",1,2024,69819,"children","<2","<5","<2","<2"
"East of England",2,2001,64552,"children","2-64","<5","2-4","2-4"
"East of England",2,2002,62756,"children","2-64","<5","2-4","2-4"
"East of England",2,2003,62414,"children","2-64","<5","2-4","2-4"
"East of England",2,2004,61427,"children","2-64","<5","2-4","2-4"
"East of England",2,2005,62737,"children","2-64","<5","2-4","2-4"
"East of England",2,2006,65260,"children","2-64","<5","2-4","2-4"
"East of England",2,2007,65770,"children","2-64","<5","2-4","2-4"
"East of England",2,2008,67781,"children","2-64","<5","2-4","2-4"
"East of England",2,2009,69613,"children","2-64","<5","2-4","2-4"
"East of England",2,2010,72790,"children","2-64","<5","2-4","2-4"
"East of England",2,2011,72557,"children","2-64","<5","2-4","2-4"
"East of England",2,2012,73817,"children","2-64","<5","2-4","2-4"
"East of England",2,2013,75082,"children","2-64","<5","2-4","2-4"
"East of England",2,2014,76162,"children","2-64","<5","2-4","2-4"
"East of England",2,2015,74904,"children","2-64","<5","2-4","2-4"
"East of England",2,2016,73913,"children","2-64","<5","2-4","2-4"
"East of England",2,2017,73350,"children","2-64","<5","2-4","2-4"
"East of England",2,2018,74286,"children","2-64","<5","2-4","2-4"
"East of England",2,2019,72068,"children","2-64","<5","2-4","2-4"
"East of England",2,2020,71070,"children","2-64","<5","2-4","2-4"
"East of England",2,2021,69823,"children","2-64","<5","2-4","2-4"
"East of England",2,2022,70545,"children","2-64","<5","2-4","2-4"
"East of England",2,2023,69616,"children","2-64","<5","2-4","2-4"
"East of England",2,2024,69616,"children","2-64","<5","2-4","2-4"
"East of England",3,2001,65831,"children","2-64","<5","2-4","2-4"
"East of England",3,2002,65099,"children","2-64","<5","2-4","2-4"
"East of England",3,2003,63370,"children","2-64","<5","2-4","2-4"
"East of England",3,2004,62900,"children","2-64","<5","2-4","2-4"
"East of England",3,2005,61785,"children","2-64","<5","2-4","2-4"
"East of England",3,2006,63008,"children","2-64","<5","2-4","2-4"
"East of England",3,2007,65731,"children","2-64","<5","2-4","2-4"
"East of England",3,2008,66305,"children","2-64","<5","2-4","2-4"
"East of England",3,2009,68342,"children","2-64","<5","2-4","2-4"
"East of England",3,2010,70200,"children","2-64","<5","2-4","2-4"
"East of England",3,2011,73497,"children","2-64","<5","2-4","2-4"
"East of England",3,2012,73322,"children","2-64","<5","2-4","2-4"
"East of England",3,2013,74500,"children","2-64","<5","2-4","2-4"
"East of England",3,2014,76103,"children","2-64","<5","2-4","2-4"
"East of England",3,2015,77194,"children","2-64","<5","2-4","2-4"
"East of England",3,2016,75525,"children","2-64","<5","2-4","2-4"
"East of England",3,2017,74255,"children","2-64","<5","2-4","2-4"
"East of England",3,2018,73635,"children","2-64","<5","2-4","2-4"
"East of England",3,2019,74746,"children","2-64","<5","2-4","2-4"
"East of England",3,2020,72340,"children","2-64","<5","2-4","2-4"
"East of England",3,2021,71627,"children","2-64","<5","2-4","2-4"
"East of England",3,2022,71700,"children","2-64","<5","2-4","2-4"
"East of England",3,2023,72603,"children","2-64","<5","2-4","2-4"
"East of England",3,2024,72603,"children","2-64","<5","2-4","2-4"
"East of England",4,2001,67452,"children","2-64","<5","2-4","2-4"
"East of England",4,2002,66499,"children","2-64","<5","2-4","2-4"
"East of England",4,2003,65795,"children","2-64","<5","2-4","2-4"
"East of England",4,2004,64004,"children","2-64","<5","2-4","2-4"
"East of England",4,2005,63463,"children","2-64","<5","2-4","2-4"
"East of England",4,2006,62087,"children","2-64","<5","2-4","2-4"
"East of England",4,2007,63270,"children","2-64","<5","2-4","2-4"
"East of England",4,2008,65975,"children","2-64","<5","2-4","2-4"
"East of England",4,2009,66454,"children","2-64","<5","2-4","2-4"
"East of England",4,2010,68958,"children","2-64","<5","2-4","2-4"
"East of England",4,2011,70763,"children","2-64","<5","2-4","2-4"
"East of England",4,2012,74048,"children","2-64","<5","2-4","2-4"
"East of England",4,2013,73910,"children","2-64","<5","2-4","2-4"
"East of England",4,2014,75343,"children","2-64","<5","2-4","2-4"
"East of England",4,2015,76977,"children","2-64","<5","2-4","2-4"
"East of England",4,2016,77761,"children","2-64","<5","2-4","2-4"
"East of England",4,2017,75846,"children","2-64","<5","2-4","2-4"
"East of England",4,2018,74391,"children","2-64","<5","2-4","2-4"
"East of England",4,2019,73958,"children","2-64","<5","2-4","2-4"
"East of England",4,2020,75007,"children","2-64","<5","2-4","2-4"
"East of England",4,2021,72870,"children","2-64","<5","2-4","2-4"
"East of England",4,2022,73406,"children","2-64","<5","2-4","2-4"
"East of England",4,2023,73714,"children","2-64","<5","2-4","2-4"
"East of England",4,2024,73714,"children","2-64","<5","2-4","2-4"
"East of England",5,2001,67149,"children","2-64","5-18","5-14","5-14"
"East of England",5,2002,67944,"children","2-64","5-18","5-14","5-14"
"East of England",5,2003,67068,"children","2-64","5-18","5-14","5-14"
"East of England",5,2004,66420,"children","2-64","5-18","5-14","5-14"
"East of England",5,2005,64324,"children","2-64","5-18","5-14","5-14"
"East of England",5,2006,63673,"children","2-64","5-18","5-14","5-14"
"East of England",5,2007,62408,"children","2-64","5-18","5-14","5-14"
"East of England",5,2008,63527,"children","2-64","5-18","5-14","5-14"
"East of England",5,2009,66332,"children","2-64","5-18","5-14","5-14"
"East of England",5,2010,66757,"children","2-64","5-18","5-14","5-14"
"East of England",5,2011,69396,"children","2-64","5-18","5-14","5-14"
"East of England",5,2012,71233,"children","2-64","5-18","5-14","5-14"
"East of England",5,2013,74522,"children","2-64","5-18","5-14","5-14"
"East of England",5,2014,74795,"children","2-64","5-18","5-14","5-14"
"East of England",5,2015,76074,"children","2-64","5-18","5-14","5-14"
"East of England",5,2016,77315,"children","2-64","5-18","5-14","5-14"
"East of England",5,2017,78134,"children","2-64","5-18","5-14","5-14"
"East of England",5,2018,76047,"children","2-64","5-18","5-14","5-14"
"East of England",5,2019,74640,"children","2-64","5-18","5-14","5-14"
"East of England",5,2020,74028,"children","2-64","5-18","5-14","5-14"
"East of England",5,2021,75572,"children","2-64","5-18","5-14","5-14"
"East of England",5,2022,74600,"children","2-64","5-18","5-14","5-14"
"East of England",5,2023,75384,"children","2-64","5-18","5-14","5-14"
"East of England",5,2024,75384,"children","2-64","5-18","5-14","5-14"
"East of England",6,2001,67550,"children","2-64","5-18","5-14","5-14"
"East of England",6,2002,67667,"children","2-64","5-18","5-14","5-14"
"East of England",6,2003,68553,"children","2-64","5-18","5-14","5-14"
